sci_name,common_name,birds
cornus alternifolia,alternate-leaf dogwood,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
sambucus nigra ssp. canadensis,american black elderberry,"Crows & Jays, Mockingbirds & Thrashers, Orioles, Thrushes, Waxwings, Woodpeckers"
staphylea trifolia,american bladdernut,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
corylus americana,american hazelnut,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
euonymus americanus,american strawberry-bush,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
hamamelis virginiana,american witch-hazel,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
sambucus nigra,black elder,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
gaylussacia baccata,black huckleberry,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
rubus occidentalis,black raspberry,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
gaylussacia frondosa,blue huckleberry,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
