Plant_ID,Type,sci_name,Common_Name,Native,Naturalized,CoC,Endemic,Persisting,Status_State,Status_US,nwpl_emp,nwpl_ncne,State_Rank,Global_Rank,Category,Habitat,Growth_Habit,Duration,,
1373,Accepted Name,acalypha rhomboidea,common three-seeded Mercury,Y,,0,N,Y,,,FACU,FACU,S5,G5,Vascular,"Open forests and woodlands, shores of streams, cultivated ground, disturbed soils, and waste places. Mostly occurring in habitats with open dry to mesic disturbed soils.",Herbaceous,,,
31,Accepted Name,acer rubrum var. rubrum,common red maple,Y,,4,N,Y,,,FAC,FAC,S5,G5T5,Vascular,Occurs in a wide variety of habitats and soil types.  Wet swamps to dry forests and young successional habitats this is a very wide spread and common tree.,Tree,Perennial,,
29,Accepted Name,acer saccharinum,silver maple,Y,,6,N,Y,,,FACW,FACW,S5,G5,Vascular,Floodplain forests and banks of larger streams and rivers.  This species is also widely cultivated.,Tree,Perennial,,
181,Accepted Name,achillea millefolium,common yarrow,Y,,0,N,Y,,,FACU,FACU,SNR,G5T5?,Vascular,"Fields, waste places, disturbed areas, and rocky open areas.",Forb/herb,Perennial,,
2575,Accepted Name,actaea pachypoda,"white baneberry, doll’s eyes",Y,,7,N,Y,,,UPL,UPL,S5,G5,Vascular,Rich mesic forests. Often in slightly richer sites than Actaea rubra.,Forb/herb,Perennial,,
2555,Accepted Name,actaea racemosa,"black cohosh, black snakeroot, bugbane",Y,,7,N,Y,,,,,S4,,Vascular,"Mesic to dry-mesic hardwood forests and forest edges, vegetated roadsides and paths often in calcareous soils.",Forb/herb,Perennial,,
2546,Accepted Name,adiantum pedatum,maidenhair fern,Y,,8,N,Y,,,FAC,FACU,S4,G5,Vascular,Rich mesic hardwoods forests often on lower slopes and valley bottoms in deep calcareous soils.,Forb/herb,Perennial,,
2932,Accepted Name,agalinis maritima var. maritima,seaside agalinis,Y,,9,N,Y,Threatened-State,,FACW,FACW,S2S3,G5,Vascular,"High salt marshes often within stands of Spartina alterniflora and Spartina patens. Generally, occurring where the Spartina spp. are thin and some soils are exposed.",Forb/herb,Annual,,
6914,Accepted Name,agastache nepetoides,"yellow giant hyssop, catnip giant hyssop",Y,,6,N,Y,Threatened-State,,FACU,FACU,S2S3,,Vascular,,Herbaceous,Perennial,,
516,Accepted Name,ageratina altissima,common white snakeroot,Y,,4,N,Y,,,FACU,FACU,S5,G5T5,Vascular,"A variety of mesic to slightly wetter forest types, shaded stream banks, shaded shale talus of ravines.  In the warmer parts of the state it is quite weedy and does particularly well in successional forests, floodplain forests, and disturbed forests.  In cooler parts of the state this species become more particular and prefers richer areas sometimes near but not in seeps.",Herbaceous,Perennial,,
517,Accepted Name,ageratina aromatica,small-leaved white snakeroot,Y,,5,N,Y,Endangered-State,,,,S1,,Vascular,,Herbaceous,Perennial,,
2120,Accepted Name,agrostis perennans,autumn bent,Y,,4,N,Y,,,FACU,FACU,S5,G5,Vascular,Mesic forests sometimes on edges of forested streams.,Graminoid,Perennial,,
1855,Accepted Name,allium cernuum,nodding onion,Y,,7,N,Y,Threatened-State,,FACU,FACU,S2,G5,Vascular,"Dry shaley and rocky forested slopes, bluffs, barrens and woodlands. Mostly on south or west facing upper slopes often with at most partial shade. Local and rare but populations can be quite large.",Forb/herb,Perennial,,
6687,Accepted Name,allium schoenoprasum,chives,Y,,9,N,Y,,,FACU,FACU,S1,,Vascular,"Native populations grow on rocky ledges and shores adjacent to rivers, and on alvar. Nonnative populations are persistent from former cultivation or occasionally naturalize in fields, thickets, roadsides, and other disturbed areas.",Herbaceous,Perennial,,
