Common Name,sci_name,Central Park,Great Hill,Harlem Meer,North Meadow,Reservoir,Great Lawn,Met Museum,Conservatory Pond,Ramble and Strawberry Fields,The Mall,Sheep Meadow,Umpire Rock,Central Park Zoo
Virginia threeseed mercury,acalypha virginica,Highly likely,High,High,High,High,High,High,High,High,High,High,High,High
red maple,acer rubrum,Highly likely,High,High,High,High,High,High,High,High,High,High,High,High
American hornbeam,carpinus caroliniana,Highly likely,High,High,High,High,High,High,High,High,High,High,High,High
coastal sweetpepperbush,clethra alnifolia,Highly likely,High,High,High,High,High,High,High,High,,High,High,High
starved panicgrass,dichanthelium depauperatum,Highly likely,High,High,High,High,High,High,High,High,High,High,High,High
intermediate woodfern,dryopteris intermedia,Highly likely,High,High,High,High,High,High,High,High,High,High,High,High
prairie fleabane,erigeron strigosus,Highly likely,High,High,High,High,High,High,High,High,High,High,High,High
white wood aster,eurybia divaricata,Highly likely,,High,High,,,,,,,,,
sweetgum,liquidambar styraciflua,Highly likely,High,High,High,High,High,High,High,High,High,High,High,High
Virginia creeper,parthenocissus quinquefolia,Highly likely,High,High,High,High,High,High,High,High,High,High,,High
red chokeberry,photinia pyrifolia,Highly likely,High,High,High,High,High,High,High,High,,High,High,High
black cherry,prunus serotina,Highly likely,High,High,High,High,High,High,High,High,High,High,High,High
Allegheny blackberry,rubus allegheniensis,Highly likely,,High,High,High,High,High,High,High,,High,High,
roundleaf greenbrier,smilax rotundifolia,Highly likely,High,High,High,High,High,High,High,High,High,High,High,High
blackhaw,viburnum prunifolium,Highly likely,High,High,High,High,High,High,High,High,High,High,High,High
marsh blue violet,viola cucullata,Highly likely,High,High,High,High,High,High,High,High,,High,High,High
