id,sci_name,title,url,type,thumbnailSrc,thumbnailSrcset,Location
4450,cercis canadensis,Eastern Redbud,https://www.centralparknyc.org/plants/eastern-redbud,"April-June, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/eastern-redbud-tree_2020-11-11-202706.jpg?mtime=20201111152706&focal=none&tmtime=20210419111918,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/eastern-redbud-tree_2020-11-11-202706.jpg?mtime=20201111152706&focal=none&tmtime=20210419111918, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/eastern-redbud-tree_2020-11-11-202706.jpg?mtime=20201111152706&focal=none&tmtime=20210419111919 2x",The Ramble
4450,cercis canadensis,Eastern Redbud,https://www.centralparknyc.org/plants/eastern-redbud,"April-June, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/eastern-redbud-tree_2020-11-11-202706.jpg?mtime=20201111152706&focal=none&tmtime=20210419111918,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/eastern-redbud-tree_2020-11-11-202706.jpg?mtime=20201111152706&focal=none&tmtime=20210419111918, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/eastern-redbud-tree_2020-11-11-202706.jpg?mtime=20201111152706&focal=none&tmtime=20210419111919 2x",North Woods
4455,acer rubrum,Red Maple,https://www.centralparknyc.org/plants/red-maple,"April-May, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Red-maple_2020-11-11-202707.jpg?mtime=20201111152707&focal=none&tmtime=20210419105329,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Red-maple_2020-11-11-202707.jpg?mtime=20201111152707&focal=none&tmtime=20210419105329, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/Red-maple_2020-11-11-202707.jpg?mtime=20201111152707&focal=none&tmtime=20210419105330 2x",The Ramble
4461,magnolia stellata,Star Magnolia,https://www.centralparknyc.org/plants/star-magnolia,"April-May, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Star-magnolia_2020-11-11-202709.jpg?mtime=20201111152709&focal=none&tmtime=20210419123301,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Star-magnolia_2020-11-11-202709.jpg?mtime=20201111152709&focal=none&tmtime=20210419123301, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/Star-magnolia_2020-11-11-202709.jpg?mtime=20201111152709&focal=none&tmtime=20210419123302 2x",Great Lawn
4466,oxydendron arboreum,Sourwood,https://www.centralparknyc.org/plants/sourwood,"June-July, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Sourwood_2020-11-11-202710.jpg?mtime=20201111152710&focal=none&tmtime=20210419142330,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Sourwood_2020-11-11-202710.jpg?mtime=20201111152710&focal=none&tmtime=20210419142330, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/Sourwood_2020-11-11-202710.jpg?mtime=20201111152710&focal=none&tmtime=20210419142331 2x",Conservatory Garden
4471,magnolia x soulangiana,Saucer Magnolia,https://www.centralparknyc.org/plants/saucer-magnolia,"March-April, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Saucer-magnolia_2020-11-11-202712.jpg?mtime=20201111152712&focal=none&tmtime=20210419105330,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Saucer-magnolia_2020-11-11-202712.jpg?mtime=20201111152712&focal=none&tmtime=20210419105330, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/Saucer-magnolia_2020-11-11-202712.jpg?mtime=20201111152712&focal=none&tmtime=20210419105331 2x",Conservatory Garden
4471,magnolia x soulangiana,Saucer Magnolia,https://www.centralparknyc.org/plants/saucer-magnolia,"March-April, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Saucer-magnolia_2020-11-11-202712.jpg?mtime=20201111152712&focal=none&tmtime=20210419105330,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Saucer-magnolia_2020-11-11-202712.jpg?mtime=20201111152712&focal=none&tmtime=20210419105330, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/Saucer-magnolia_2020-11-11-202712.jpg?mtime=20201111152712&focal=none&tmtime=20210419105331 2x",Obelisk (Cleopatra's Needle)
4477,solidago flexicaulis,Zigzag Goldenrod,https://www.centralparknyc.org/plants/zigzag-goldenrod,"August-September, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/zigzag-goldenrod_l_2020-11-11-202713.jpg?mtime=20201111152713&focal=none&tmtime=20210419191025,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/zigzag-goldenrod_l_2020-11-11-202713.jpg?mtime=20201111152713&focal=none&tmtime=20210419191025, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/zigzag-goldenrod_l_2020-11-11-202713.jpg?mtime=20201111152713&focal=none&tmtime=20210419191025 2x",The Ramble
4482,trillium luteum,Yellow Trillium,https://www.centralparknyc.org/plants/yellow-trillium,"May-June, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/yellow-trillium_l_2020-11-11-202714.jpg?mtime=20201111152714&focal=none&tmtime=20210419135206,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/yellow-trillium_l_2020-11-11-202714.jpg?mtime=20201111152714&focal=none&tmtime=20210419135206, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/yellow-trillium_l_2020-11-11-202714.jpg?mtime=20201111152714&focal=none&tmtime=20210419135206 2x",Hallett Nature Sanctuary
4487,cypripedium parviflorum,Yellow Lady's Slipper,https://www.centralparknyc.org/plants/yellow-ladys-slipper,"May, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/yellow-ladys-slipper_l_2020-11-11-202715.jpg?mtime=20201111152715&focal=none&tmtime=20210419135205,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/yellow-ladys-slipper_l_2020-11-11-202715.jpg?mtime=20201111152715&focal=none&tmtime=20210419135205, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/yellow-ladys-slipper_l_2020-11-11-202715.jpg?mtime=20201111152715&focal=none&tmtime=20210419135205 2x",The Ramble
