,id,sci_name,title,url,type,thumbnailSrc,thumbnailSrcset,Location,"Lat, Long",common_name_x,birds,common_name_y,usda_symbol,usda_link,use_cat,all_use_link,use_note,use_source,Plant_ID,Type,Common_Name,Native,Naturalized,CoC,Endemic,Persisting,Status_State,Status_US,nwpl_emp,nwpl_ncne,State_Rank,Global_Rank,Category,Habitat,Growth_Habit,Duration,Unnamed: 19,Unnamed: 20,Common Name,Central Park,Great Hill,Harlem Meer,North Meadow,Reservoir,Great Lawn,Met Museum,Conservatory Pond,Ramble and Strawberry Fields,The Mall,Sheep Meadow,Umpire Rock,Central Park Zoo
0,4450,cercis canadensis,Eastern Redbud,https://www.centralparknyc.org/plants/eastern-redbud,"April-June, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/eastern-redbud-tree_2020-11-11-202706.jpg?mtime=20201111152706&focal=none&tmtime=20210419111918,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/eastern-redbud-tree_2020-11-11-202706.jpg?mtime=20201111152706&focal=none&tmtime=20210419111918, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/eastern-redbud-tree_2020-11-11-202706.jpg?mtime=20201111152706&focal=none&tmtime=20210419111919 2x",The Ramble,"40.7780685848907, -73.9697120355825",,,Eastern Redbud,CECAC,http://plants.usda.gov/java/profile?symbol=CECAC,"Antiemetic, Febrifuge ",http://naeb.brit.org/uses/species/837/,Infusion of bark used as a cold drink for vomiting. Infusion of bark used as a cold drink for fever. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4450,cercis canadensis,Eastern Redbud,https://www.centralparknyc.org/plants/eastern-redbud,"April-June, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/eastern-redbud-tree_2020-11-11-202706.jpg?mtime=20201111152706&focal=none&tmtime=20210419111918,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/eastern-redbud-tree_2020-11-11-202706.jpg?mtime=20201111152706&focal=none&tmtime=20210419111918, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/eastern-redbud-tree_2020-11-11-202706.jpg?mtime=20201111152706&focal=none&tmtime=20210419111919 2x",North Woods,"40.7979450387412, -73.9561252067475",,,Eastern Redbud,CECAC,http://plants.usda.gov/java/profile?symbol=CECAC,"Antiemetic, Febrifuge ",http://naeb.brit.org/uses/species/837/,Infusion of bark used as a cold drink for vomiting. Infusion of bark used as a cold drink for fever. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4455,acer rubrum,Red Maple,https://www.centralparknyc.org/plants/red-maple,"April-May, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Red-maple_2020-11-11-202707.jpg?mtime=20201111152707&focal=none&tmtime=20210419105329,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Red-maple_2020-11-11-202707.jpg?mtime=20201111152707&focal=none&tmtime=20210419105329, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/Red-maple_2020-11-11-202707.jpg?mtime=20201111152707&focal=none&tmtime=20210419105330 2x",The Ramble,"40.7780685848907, -73.9697120355825",red maple,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens",,,,,,,,,,,,,,,,,,,,,,,,,,,,red maple,Highly likely,High,High,High,High,High,High,High,High,High,High,High,High
3,4461,magnolia stellata,Star Magnolia,https://www.centralparknyc.org/plants/star-magnolia,"April-May, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Star-magnolia_2020-11-11-202709.jpg?mtime=20201111152709&focal=none&tmtime=20210419123301,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Star-magnolia_2020-11-11-202709.jpg?mtime=20201111152709&focal=none&tmtime=20210419123301, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/Star-magnolia_2020-11-11-202709.jpg?mtime=20201111152709&focal=none&tmtime=20210419123302 2x",Great Lawn,"40.78186602088203, -73.96643551655265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4466,oxydendron arboreum,Sourwood,https://www.centralparknyc.org/plants/sourwood,"June-July, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Sourwood_2020-11-11-202710.jpg?mtime=20201111152710&focal=none&tmtime=20210419142330,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Sourwood_2020-11-11-202710.jpg?mtime=20201111152710&focal=none&tmtime=20210419142330, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/Sourwood_2020-11-11-202710.jpg?mtime=20201111152710&focal=none&tmtime=20210419142331 2x",Conservatory Garden,"40.794017697099534, -73.95244270674752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4471,magnolia x soulangiana,Saucer Magnolia,https://www.centralparknyc.org/plants/saucer-magnolia,"March-April, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Saucer-magnolia_2020-11-11-202712.jpg?mtime=20201111152712&focal=none&tmtime=20210419105330,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Saucer-magnolia_2020-11-11-202712.jpg?mtime=20201111152712&focal=none&tmtime=20210419105330, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/Saucer-magnolia_2020-11-11-202712.jpg?mtime=20201111152712&focal=none&tmtime=20210419105331 2x",Conservatory Garden,"40.794017697099534, -73.95244270674752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4471,magnolia x soulangiana,Saucer Magnolia,https://www.centralparknyc.org/plants/saucer-magnolia,"March-April, Deciduous",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Saucer-magnolia_2020-11-11-202712.jpg?mtime=20201111152712&focal=none&tmtime=20210419105330,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/Saucer-magnolia_2020-11-11-202712.jpg?mtime=20201111152712&focal=none&tmtime=20210419105330, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/Saucer-magnolia_2020-11-11-202712.jpg?mtime=20201111152712&focal=none&tmtime=20210419105331 2x",Obelisk (Cleopatra's Needle),"40.779730110783895, -73.96544487975746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4477,solidago flexicaulis,Zigzag Goldenrod,https://www.centralparknyc.org/plants/zigzag-goldenrod,"August-September, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/zigzag-goldenrod_l_2020-11-11-202713.jpg?mtime=20201111152713&focal=none&tmtime=20210419191025,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/zigzag-goldenrod_l_2020-11-11-202713.jpg?mtime=20201111152713&focal=none&tmtime=20210419191025, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/zigzag-goldenrod_l_2020-11-11-202713.jpg?mtime=20201111152713&focal=none&tmtime=20210419191025 2x",The Ramble,"40.7780685848907, -73.9697120355825",zigzag goldenrod,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens",,,,,,,,278.0,Accepted Name,zigzag goldenrod,Y,,6.0,N,Y,,,FACU,FACU,S5,G5,Vascular,"Rich mesic forests, forested road banks, edges of forests, and thickets. Prefers deep calcareous soils. Solidago flexicaulis is an understory herb of mesic forested environments. In the northern parts of NY it is more restricted to rich forests while in the southern parts of NY it grows in a wider variety of soils although still prefers the richer sites.",Forb/herb,Perennial,,,,,,,,,,,,,,,,
8,4482,trillium luteum,Yellow Trillium,https://www.centralparknyc.org/plants/yellow-trillium,"May-June, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/yellow-trillium_l_2020-11-11-202714.jpg?mtime=20201111152714&focal=none&tmtime=20210419135206,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/yellow-trillium_l_2020-11-11-202714.jpg?mtime=20201111152714&focal=none&tmtime=20210419135206, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/yellow-trillium_l_2020-11-11-202714.jpg?mtime=20201111152714&focal=none&tmtime=20210419135206 2x",Hallett Nature Sanctuary,"40.76681034065956, -73.97495456257255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4487,cypripedium parviflorum,Yellow Lady's Slipper,https://www.centralparknyc.org/plants/yellow-ladys-slipper,"May, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/yellow-ladys-slipper_l_2020-11-11-202715.jpg?mtime=20201111152715&focal=none&tmtime=20210419135205,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/yellow-ladys-slipper_l_2020-11-11-202715.jpg?mtime=20201111152715&focal=none&tmtime=20210419135205, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/yellow-ladys-slipper_l_2020-11-11-202715.jpg?mtime=20201111152715&focal=none&tmtime=20210419135205 2x",The Ramble,"40.7780685848907, -73.9697120355825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
