common_name,sci_name,usda_symbol,usda_link,use_cat,all_use_link,use_note,use_source
Common Yarrow,achillea millefolium,ACMIM2,http://plants.usda.gov/java/profile?symbol=ACMIM2,"Kidney Aid, Liver Aid",http://naeb.brit.org/uses/species/38/,Infusion of plant used for kidney disorders. Infusion of plant used for liver disorders. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 35"
Calamus,acorus calamus,ACAM,http://plants.usda.gov/java/profile?symbol=ACAM,"Abortifacient, Cold Remedy, Cough Medicine, Gastrointestinal Aid ",http://naeb.brit.org/uses/species/55/,Infusion of roots used for suppressed menses. Infusion of roots used for colds. Infusion of roots used for coughs. Roots used with sassafras roots for intestinal pains. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 37"
Black Bugbane,actaea racemosa var. racemosa,,,Tonic,http://naeb.brit.org/uses/species/60/,Combined with elecampane and stone roots to make a tonic.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 39"
Ohio Buckeye,aesculus glabra willd.,AEGLG,http://plants.usda.gov/java/profile?symbol=AEGLG,"Antirheumatic (External), Ear Medicine, Poison ",http://naeb.brit.org/uses/species/76/,Nuts carried in the pocket for rheumatism. Infusion of ground nuts mixed with sweet oil or mutton tallow and applied for earache. Nuts ground and used as fish poison in streams. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 30"
,agaricus campestris,,,"Delaware Food, Unspecified",http://naeb.brit.org/uses/species/81/,"Salted, boiled or fried in fat and used for food.","Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 60"
Annual Ragweed,ambrosia artemisiifolia,AMARA2,http://plants.usda.gov/java/profile?symbol=AMARA2,Blood Medicine,http://naeb.brit.org/uses/species/198/,Poultice of plant used to prevent blood poisoning.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 35"
Purplestem Angelica,angelica atropurpurea,ANAT,http://plants.usda.gov/java/profile?symbol=ANAT,Gastrointestinal Aid,http://naeb.brit.org/uses/species/259/,Roots used for stomach disorders.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 33"
Groundnut,apios americana medik.,APAM,http://plants.usda.gov/java/profile?symbol=APAM,"Bread & Cake, Unspecified, Winter Use Food",http://naeb.brit.org/uses/species/289/,"Roots dried, ground into flour and made into bread. Roots boiled and eaten as the cultivated potato. Tuberous roots used as winter food. ","Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 59"
Lesser Burrdock,arctium minus bernh.,ARMI2,http://plants.usda.gov/java/profile?symbol=ARMI2,"Antirheumatic (Internal), Blood Medicine, Stimulant ",http://naeb.brit.org/uses/species/328/,Infusion of roots used for rheumatism. Infusion of roots used as a blood purifier. Infusion of roots used as a stimulant. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 36"
Virginia Snakeroot,aristolochia serpentaria,ARSE3,http://plants.usda.gov/java/profile?symbol=ARSE3,Tonic,http://naeb.brit.org/uses/species/374/,Used singly or combined with wintergreen to make a tonic.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 39"
Milkweed,asclepias sp.,,,Misc. Disease Remedy,http://naeb.brit.org/uses/species/441/,Infusion of pounded roots used for epilepsy in those born during certain phases of the moon.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 39"
Butterfly Milkweed,asclepias tuberosa,ASTUT2,http://plants.usda.gov/java/profile?symbol=ASTUT2,"Antirheumatic (External), Gynecological Aid, Pulmonary Aid ",http://naeb.brit.org/uses/species/447/,Roots used for rheumatism. Roots administered to women following childbirth. Roots used for pleurisy. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 37"
Horseflyweed,baptisia tinctoria,BATI,http://plants.usda.gov/java/profile?symbol=BATI,"Dermatological Aid, Gynecological Aid ",http://naeb.brit.org/uses/species/556/,Infusion of roots used to clean cuts and ulcers. Infusion of roots used as a douche. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 37"
